시도,시군구명,소재지도로명주소,위도,경도
서울특별시,마포구,서울특별시 마포구 새터산6길 31,37.5659299143,126.908681554
서울특별시,마포구,서울특별시 마포구 창전로 28,37.5448084337,126.9315438139
서울특별시,마포구,서울특별시 마포구 독막로29길 25,37.5482286158,126.9378818559
서울특별시,마포구,서울특별시 마포구 신수로 25-12,37.5438862636,126.9335274
서울특별시,마포구,서울특별시 마포구 신촌로24길 26,37.5552331801,126.9414576287
서울특별시,마포구,서울특별시 마포구 독막로32안길 25,37.54635853,126.9379673505
서울특별시,마포구,서울특별시 마포구 서강로8길 14,37.5503145126,126.9355200566
서울특별시,마포구,서울특별시 마포구 삼개로5길 29,37.5377056886,126.9486706
서울특별시,마포구,서울특별시 마포구 백범로 13,37.5534472643,126.937496367
서울특별시,마포구,서울특별시 마포구 독막로19길 42-15,37.5496680701,126.9237655277
서울특별시,마포구,서울특별시 마포구 독막로 97,37.5479438305,126.9243275488
서울특별시,마포구,서울특별시 마포구 독막로 79,37.547949698,126.9222639207
서울특별시,마포구,서울특별시 마포구 고산길 42,37.55400905,126.9394749
서울특별시,마포구,서울특별시 마포구 와우산로26길 64-21,37.5534582318,126.9293058815
서울특별시,마포구,서울특별시 마포구 신수로 89,37.549658585,126.9351893889
서울특별시,마포구,서울특별시 마포구 신수로 104,37.5502933534,126.9363768512
서울특별시,마포구,서울특별시 마포구 고산18길 38,37.5527282313,126.9452789
서울특별시,마포구,서울특별시 마포구 독막로 227,37.5473766618,126.9391514387
서울특별시,마포구,서울특별시 마포구 대흥로 129,37.551095521,126.9440938
서울특별시,마포구,서울특별시 마포구 독막로 232-1,37.54685755,126.9394143938
서울특별시,마포구,서울특별시 마포구 대흥로 11,37.5424504211,126.9365308426
서울특별시,마포구,서울특별시 마포구 독막로26길 10,37.5469203439,126.9349959921
서울특별시,마포구,서울특별시 마포구 독막로 189,37.5477275958,126.9345917566
서울특별시,마포구,서울특별시 마포구 독막로26길 48,37.54576163,126.9364139992
서울특별시,마포구,서울특별시 마포구 독막로28길 46,37.54495249,126.9366475472
서울특별시,마포구,서울특별시 마포구 독막로32길 48,37.54543786,126.9374900138
서울특별시,마포구,서울특별시 마포구 대흥로9길 24,37.54502775,126.9377376255
서울특별시,마포구,서울특별시 마포구 대흥로9안길 17,37.5454940886,126.9378900092
서울특별시,마포구,서울특별시 마포구 대흥로 33,37.5445358178,126.9377793447
서울특별시,마포구,서울특별시 마포구 대흥로13길 1,37.5449871816,126.9389167685
서울특별시,마포구,서울특별시 마포구 토정로 208-15,37.5444342,126.9335422491
서울특별시,마포구,서울특별시 마포구 대흥로 45,37.54485426,126.9389175556
서울특별시,마포구,서울특별시 마포구 대흥로 122,37.5504068177,126.9442780986
서울특별시,마포구,서울특별시 마포구 토정로 215-3,37.5451797241,126.9350323562
서울특별시,마포구,서울특별시 마포구 독막로 264,37.5459041557,126.9425620005
서울특별시,마포구,서울특별시 마포구 독막로28길 62,37.5444803836,126.9367901
서울특별시,마포구,서울특별시 마포구 토정로 222,37.5444976321,126.935295585
서울특별시,마포구,서울특별시 마포구 서강대길 40,37.549255949,126.9410713
서울특별시,마포구,서울특별시 마포구 신수로 27-5,37.5441544462,126.9338405788
서울특별시,마포구,서울특별시 마포구 신수로 30,37.544214568,126.9343699843
서울특별시,마포구,서울특별시 마포구 백범로 28,37.5520644056,126.9369745715
서울특별시,마포구,서울특별시 마포구 백범로 29,37.55210309,126.9377177013
서울특별시,마포구,서울특별시 마포구 대흥로 184-2,37.5555623593,126.9460927321
서울특별시,마포구,서울특별시 마포구 대흥로 180,37.55500587,126.9461811287
서울특별시,마포구,서울특별시 마포구 대흥로18길 17,37.5492364899,126.9442335911
서울특별시,마포구,서울특별시 마포구 서강로 105,37.5524749518,126.9328177
서울특별시,마포구,서울특별시 마포구 와우산로 144-8,37.5537177356,126.9294841066
서울특별시,마포구,서울특별시 마포구 독막로 266,37.54389094,126.9423896425
서울특별시,마포구,서울특별시 마포구 독막로22길 3,37.5471650639,126.929577
서울특별시,마포구,서울특별시 마포구 백범로15길 29,37.5488445044,126.9431813507
서울특별시,마포구,서울특별시 마포구 독막로 268,37.5456615804,126.9428791437
서울특별시,마포구,서울특별시 마포구 백범로16안길 29,37.5463243037,126.9437100213
서울특별시,마포구,서울특별시 마포구 광성로6길 64,37.54735422,126.940062739
서울특별시,마포구,서울특별시 마포구 백범로16길 8,37.5472658973,126.9423194702
서울특별시,마포구,서울특별시 마포구 독막로 136,37.5474287615,126.9287161
서울특별시,마포구,서울특별시 마포구 서강로11길 35,37.5539339,126.9318400223
서울특별시,마포구,서울특별시 마포구 서강로9길 24-3,37.5536788485,126.9321448
서울특별시,마포구,서울특별시 마포구 서강로11길 15,37.553478222,126.9326770944
서울특별시,마포구,서울특별시 마포구 와우산로24길 25,37.5523941494,126.926206969
서울특별시,마포구,서울특별시 마포구 와우산로30길 23,37.5535920035,126.9300177109
서울특별시,마포구,서울특별시 마포구 와우산로30길 50,37.5530370351,126.9291884697
서울특별시,마포구,서울특별시 마포구 와우산로26길 9-32,37.55307478,126.9281045233
서울특별시,마포구,서울특별시 마포구 와우산로26길 46,37.5526941537,126.9280595921
서울특별시,마포구,서울특별시 마포구 와우산로26길 54-15,37.55246967,126.9283205
서울특별시,마포구,서울특별시 마포구 와우산로30길 78,37.55224793,126.9280724979
서울특별시,마포구,서울특별시 마포구 와우산로26길 9-12,37.5527974492,126.9269525836
서울특별시,마포구,서울특별시 마포구 창전로 35,37.5457372356,126.9317894241
서울특별시,마포구,서울특별시 마포구 서강로 129,37.5540982373,126.9347632532
서울특별시,마포구,서울특별시 마포구 백범로 21,37.5528564147,126.9375432599
서울특별시,마포구,서울특별시 마포구 신촌로12나길 8,37.55531979,126.9329399
서울특별시,마포구,서울특별시 마포구 신촌로14안길 6,37.5543364859,126.9334739
서울특별시,마포구,서울특별시 마포구 신촌로16길 34,37.554244298,126.9342001466
서울특별시,마포구,서울특별시 마포구 서강로 126,37.5535198701,126.9348035293
서울특별시,마포구,서울특별시 마포구 백범로2길 32,37.5537064003,126.9353380984
서울특별시,마포구,서울특별시 마포구 서강로16길 21,37.5527264584,126.9353633
서울특별시,마포구,서울특별시 마포구 서강로18길 42,37.5522337649,126.9360837929
서울특별시,마포구,서울특별시 마포구 와우산로 22,37.5463328068,126.9231525443
서울특별시,마포구,서울특별시 마포구 와우산로 26,37.5468144934,126.923171966
서울특별시,마포구,서울특별시 마포구 와우산로 10,37.54523139,126.9231070987
서울특별시,마포구,서울특별시 마포구 창전로 88,37.5502316363,126.9332776414
서울특별시,마포구,서울특별시 마포구 창전로 100,37.55092251,126.9329956
서울특별시,마포구,서울특별시 마포구 광성로 3-2,37.55034753,126.9355200566
서울특별시,마포구,서울특별시 마포구 서강로16길 63,37.5515258353,126.9368337
서울특별시,마포구,서울특별시 마포구 광성로 34,37.5497256066,126.9366604719
서울특별시,마포구,서울특별시 마포구 와우산로1길 18,37.5457414786,126.9219124798
서울특별시,마포구,서울특별시 마포구 토정로 104,37.5449206067,126.9223653999
서울특별시,마포구,서울특별시 마포구 와우산로 25,37.5467911309,126.9227169726
서울특별시,마포구,서울특별시 마포구 와우산로 30,37.54710459,126.9231699137
서울특별시,마포구,서울특별시 마포구 백범로10길 23,37.548470473,126.9398526115
서울특별시,마포구,서울특별시 마포구 백범로 67,37.5491744385,126.9395298684
서울특별시,마포구,서울특별시 마포구 백범로 75,37.5487737429,126.9403732583
서울특별시,마포구,서울특별시 마포구 백범로 83-1,37.5484478581,126.9411040967
서울특별시,마포구,서울특별시 마포구 백범로 70,37.5487519214,126.9394539377
서울특별시,마포구,서울특별시 마포구 와우산로14길 16,37.5503221709,126.9238680685
서울특별시,마포구,서울특별시 마포구 토정로 204,37.54500818,126.9333950612
서울특별시,마포구,서울특별시 마포구 백범로 58,37.5495856325,126.9384415729
서울특별시,마포구,서울특별시 마포구 고산16길 36,37.5529129941,126.9445760188
서울특별시,마포구,서울특별시 마포구 독막로19길 42-20,37.5499223115,126.9240134396
서울특별시,마포구,서울특별시 마포구 서강로 37-4,37.5467705529,126.9306838
서울특별시,마포구,서울특별시 마포구 대흥로 61,37.5461105307,126.9401159055
서울특별시,마포구,서울특별시 마포구 독막로22길 27,37.5467713316,126.928418
서울특별시,마포구,서울특별시 마포구 독막로20나길 21,37.5468742127,126.9269794117
서울특별시,마포구,서울특별시 마포구 백범로25길 41-7,37.5477487728,126.9469412
서울특별시,마포구,서울특별시 마포구 숭문4안길 19-3,37.5473397088,126.9467743389
서울특별시,마포구,서울특별시 마포구 마포대로11길 118,37.5490468747,126.947882129
서울특별시,마포구,서울특별시 마포구 백범로25길 34,37.5477804988,126.9490699644
서울특별시,마포구,서울특별시 마포구 마포대로11가길 12,37.5482692403,126.949372002
서울특별시,마포구,서울특별시 마포구 마포대로11가길 23,37.5478185744,126.9498261989
서울특별시,마포구,서울특별시 마포구 숭문4길 20,37.5477928617,126.9464655377
서울특별시,마포구,서울특별시 마포구 숭문4안길 2,37.54762144,126.9461145
서울특별시,마포구,서울특별시 마포구 백범로28길 20,37.5446037676,126.9466461536
서울특별시,마포구,서울특별시 마포구 독막로42길 5,37.5430611954,126.9465105622
서울특별시,마포구,서울특별시 마포구 독막로42길 7,37.5433654064,126.946187966
서울특별시,마포구,서울특별시 마포구 토정로37길 47,37.5429378064,126.9470166769
서울특별시,마포구,서울특별시 마포구 토정로37길 41,37.5427097153,126.9467095119
서울특별시,마포구,서울특별시 마포구 독막로 324,37.542813313,126.9482312
서울특별시,마포구,서울특별시 마포구 독막로 320,37.5429644969,126.9478734637
서울특별시,마포구,서울특별시 마포구 새창로4라길 11,37.5409350189,126.951744768
서울특별시,마포구,서울특별시 마포구 새창로4다길 14,37.5409815201,126.9519893715
서울특별시,마포구,서울특별시 마포구 동교로 210,37.5586363438,126.9237863839
서울특별시,마포구,서울특별시 마포구 동교로 190,37.55708411,126.9225271954
서울특별시,마포구,서울특별시 마포구 동교로 180,37.55640402,126.9218312476
서울특별시,마포구,서울특별시 마포구 동교로 174,37.5560480952,126.9212476924
서울특별시,마포구,서울특별시 마포구 포은로 69,37.5534206867,126.9059652291
서울특별시,마포구,서울특별시 마포구 희우정로10길 29,37.5532916033,126.9055507362
서울특별시,마포구,서울특별시 마포구 희우정로16길 28-13,37.554083466,126.9037359411
서울특별시,마포구,서울특별시 마포구 망원로6길 47,37.5549117957,126.9038026
서울특별시,마포구,서울특별시 마포구 희우정로20길 22-7,37.5553491759,126.9018616366
서울특별시,마포구,서울특별시 마포구 월드컵로13길 64,37.5553291238,126.9065760032
서울특별시,마포구,서울특별시 마포구 망원로6길 8,37.55654273,126.9031121007
서울특별시,마포구,서울특별시 마포구 동교로 164,37.55573293,126.9201797
서울특별시,마포구,서울특별시 마포구 월드컵북로 9,37.555719399,126.9205567731
서울특별시,마포구,서울특별시 마포구 동교로 156,37.55547304,126.9194156761
서울특별시,마포구,서울특별시 마포구 와우산로15길 50,37.5487439892,126.920828
서울특별시,마포구,서울특별시 마포구 동교로 147-1,37.555579045,126.9184477
서울특별시,마포구,서울특별시 마포구 잔다리로 104,37.5564104773,126.9148870012
서울특별시,마포구,서울특별시 마포구 잔다리로 90,37.5554523521,126.9157598652
서울특별시,마포구,서울특별시 마포구 동교로 135,37.555342348,126.9171095
서울특별시,마포구,서울특별시 마포구 동교로 144,37.55514771,126.9180899395
서울특별시,마포구,서울특별시 마포구 동교로 128,37.55486671,126.9163371
서울특별시,마포구,서울특별시 마포구 잔다리로 75,37.55403024,126.916169158
서울특별시,마포구,서울특별시 마포구 잔다리로 89,37.555114286,126.9153653857
서울특별시,마포구,서울특별시 마포구 월드컵로10길 27,37.5550361475,126.9131022464
서울특별시,마포구,서울특별시 마포구 월드컵로10길 15,37.5547936484,126.9125543
