소재지도로명주소,위도,경도,관할기관명
서울특별시 종로구 북촌로15길 44-2,37.5850373981,126.9833993901,종로소방서
서울특별시 종로구 북촌로5나길 108,37.5852953134,126.983123759,종로소방서
서울특별시 종로구 북촌로15길 44-8,37.5850381679,126.9831096647,종로소방서
서울특별시 종로구 북촌로15길 52-8,37.5847741734,126.9830411,종로소방서
서울특별시 종로구 삼청로 100-1,37.5842981378,126.9821941327,종로소방서
서울특별시 종로구 삼청로 94-4,37.5837128405,126.9821142283,종로소방서
서울특별시 종로구 삼청로 108,37.58505311,126.9822176203,종로소방서
서울특별시 종로구 삼청로 123,37.5863496025,126.9815653856,종로소방서
서울특별시 종로구 삼청로 123,37.5863496025,126.9815653856,종로소방서
서울특별시 종로구 삼청로9길 21,37.5875793406,126.980830498,종로소방서
서울특별시 종로구 삼청로7길 11,37.5837344936,126.9811371,종로소방서
서울특별시 종로구 삼청로7길 32,37.5840916531,126.9800823506,종로소방서
서울특별시 종로구 북촌로15길 27,37.5855276903,126.9838741,종로소방서
서울특별시 종로구 북촌로5나길 115,37.585504665,126.9834842005,종로소방서
서울특별시 종로구 삼청로9길 51,37.58832811,126.9805673973,종로소방서
서울특별시 종로구 청계천로 41,37.5696679696,126.9821792785,종로소방서
서울특별시 종로구 청계천로 41,37.5696679696,126.9821792785,종로소방서
서울특별시 종로구 청계천로 41,37.5696679696,126.9821792785,종로소방서
서울특별시 종로구 종로 26,37.5696912777,126.9803037465,종로소방서
서울특별시 종로구 종로3길 38,37.5720788686,126.9795009931,종로소방서
서울특별시 종로구 종로 26,37.5696912777,126.9803591,종로소방서
서울특별시 종로구 종로 26,37.5696912777,126.9803037465,종로소방서
서울특별시 종로구 종로 26,37.5696912777,126.9803037465,종로소방서
서울특별시 종로구 종로 22,37.5698767761,126.9796743325,종로소방서
서울특별시 종로구 청계천로 11,37.5694838005,126.9788309,종로소방서
서울특별시 종로구 종로 6,37.5698416253,126.9780960623,종로소방서
서울특별시 종로구 청계천로 1,37.5695464451,126.9780203083,종로소방서
서울특별시 종로구 사직로 161,37.575904091,126.9768421338,종로소방서
서울특별시 종로구 사직로 161,37.575904091,126.9768672,종로소방서
서울특별시 종로구 사직로 161,37.575904091,126.9768421338,종로소방서
서울특별시 종로구 사직로8길 60,37.5736099837,126.9750980797,종로소방서
